Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,0.989300,0.991800,0.986400,0.989300,0.989300,0
2022-11-08,0.990800,0.993110,0.988090,0.990800,0.990800,0
2022-11-09,0.992410,0.993600,0.986100,0.992410,0.992410,0
2022-11-10,0.985460,0.989370,0.982000,0.985460,0.985460,0
2022-11-11,0.983450,0.987380,0.974300,0.983450,0.983450,0
2022-11-14,0.974970,0.977660,0.972580,0.974970,0.974970,0
2022-11-15,0.973420,0.983970,0.973500,0.973420,0.973420,0
2022-11-16,0.976590,0.982160,0.976400,0.976590,0.976590,0
2022-11-17,0.981550,0.986700,0.980400,0.981550,0.981550,0
2022-11-18,0.987400,0.988850,0.984590,0.987400,0.987400,0
2022-11-21,0.984820,0.985150,0.979970,0.984820,0.984820,0
2022-11-22,0.981600,0.983090,0.976300,0.981600,0.981600,0
2022-11-23,0.980500,0.983190,0.976300,0.980500,0.980500,0
2022-11-24,0.980040,0.983370,0.979470,0.980040,0.980040,0
2022-11-25,0.981920,0.985650,0.981600,0.981920,0.981920,0
2022-11-28,0.982130,0.988900,0.979200,0.982130,0.982130,0
2022-11-29,0.981500,0.987100,0.981200,0.981500,0.981500,0
2022-11-30,0.985390,0.987130,0.978800,0.985390,0.985390,0
2022-12-01,0.983720,0.988550,0.982220,0.983720,0.983720,0
2022-12-02,0.985830,0.986930,0.982300,0.985830,0.985830,0
2022-12-05,0.987310,0.990890,0.985000,0.987310,0.987310,0
2022-12-06,0.989120,0.990830,0.986030,0.989120,0.989120,0
2022-12-07,0.985990,0.989520,0.983800,0.985990,0.985990,0
2022-12-08,0.988480,0.989880,0.986270,0.988480,0.988480,0
2022-12-09,0.987930,0.988820,0.982400,0.987930,0.987930,0
2022-12-12,0.983730,0.987160,0.983760,0.983730,0.983730,0
2022-12-13,0.986390,0.989900,0.983300,0.986400,0.986400,0
2022-12-14,0.987200,0.988760,0.983230,0.987200,0.987200,0
2022-12-15,0.986780,0.991140,0.983890,0.986780,0.986780,0
2022-12-16,0.986740,0.990430,0.985640,0.986740,0.986740,0
2022-12-19,0.989170,0.991150,0.986860,0.989170,0.989170,0
2022-12-20,0.985510,0.986560,0.982560,0.985510,0.985510,0
2022-12-21,0.984160,0.985790,0.982100,0.984160,0.984160,0
2022-12-22,0.982900,0.986340,0.981700,0.982900,0.982900,0
2022-12-23,0.987020,0.991630,0.986200,0.987020,0.987020,0
2022-12-26,0.991000,0.992300,0.988600,0.991000,0.991000,0
2022-12-27,0.991570,0.992300,0.987300,0.991570,0.991570,0
2022-12-28,0.988600,0.990280,0.984400,0.988600,0.988600,0
2022-12-29,0.986150,0.985840,0.982440,0.986150,0.986150,0
2022-12-30,0.983900,0.988640,0.982900,0.983900,0.983900,0
2023-01-02,0.987900,0.990200,0.985300,0.987900,0.987900,0
2023-01-03,0.986770,0.990390,0.983800,0.986770,0.986770,0
2023-01-04,0.987190,0.987620,0.983320,0.987190,0.987190,0
2023-01-05,0.985960,0.986940,0.983200,0.985960,0.985960,0
2023-01-06,0.984850,0.988120,0.984680,0.984850,0.984850,0
2023-01-09,0.987610,0.988930,0.985200,0.987610,0.987610,0
2023-01-10,0.988440,0.991070,0.987410,0.988440,0.988440,0
2023-01-11,0.990460,1.001920,0.989700,0.990460,0.990460,0
2023-01-12,1.002000,1.006680,1.001840,1.002000,1.002000,0
2023-01-13,1.006970,1.009700,1.001900,1.006970,1.006970,0
2023-01-16,1.003030,1.003800,0.999970,1.003030,1.003030,0
2023-01-17,1.002330,1.002630,0.993540,1.002330,1.002330,0
2023-01-18,0.994640,0.996260,0.987780,0.994640,0.994640,0
2023-01-19,0.988920,0.993100,0.988400,0.988920,0.988920,0
2023-01-20,0.992050,0.998860,0.992000,0.992050,0.992050,0
2023-01-23,0.999400,1.003140,0.998700,0.999380,0.999380,0
2023-01-24,1.002000,1.006630,0.999400,1.002000,1.002000,0
2023-01-25,1.004220,1.006800,1.001200,1.004220,1.004220,0
2023-01-26,1.001700,1.002590,0.998780,1.001700,1.001700,0
2023-01-27,1.002340,1.003850,0.999400,1.002340,1.002340,0
2023-01-30,1.001020,1.006100,1.000330,1.001020,1.001020,0
2023-01-31,1.003970,1.005090,0.995890,1.003970,1.003970,0
2023-02-01,0.995300,0.999170,0.995060,0.995300,0.995300,0
2023-02-02,0.999050,1.000340,0.993480,0.999050,0.999050,0
2023-02-03,0.995950,1.003070,0.995490,0.995950,0.995950,0
2023-02-06,0.999520,1.000130,0.994100,0.999520,0.999520,0
2023-02-07,0.995430,0.995900,0.987180,0.995430,0.995430,0
2023-02-08,0.988890,0.989530,0.986770,0.988890,0.988890,0
2023-02-09,0.986750,0.990130,0.986160,0.986750,0.986750,0
2023-02-10,0.990500,0.990500,0.986390,0.990500,0.990500,0
2023-02-13,0.985500,0.987620,0.984690,0.985900,0.985900,0
2023-02-14,0.985810,0.989120,0.984800,0.985810,0.985810,0
2023-02-15,0.989310,0.991060,0.986630,0.989310,0.989310,0
2023-02-16,0.987090,0.988510,0.986510,0.987090,0.987090,0
2023-02-17,0.988210,0.992510,0.987860,0.988210,0.988210,0
2023-02-20,0.988590,0.988670,0.985460,0.988470,0.988470,0
2023-02-21,0.986180,0.990000,0.984740,0.986180,0.986180,0
2023-02-22,0.987960,0.989140,0.985880,0.987960,0.987960,0
2023-02-23,0.987610,0.990550,0.986900,0.987610,0.987610,0
2023-02-24,0.989460,0.991780,0.988720,0.989460,0.989460,0
2023-02-27,0.992100,0.994550,0.991200,0.992100,0.992100,0
2023-02-28,0.992640,0.996160,0.991400,0.992640,0.992640,0
2023-03-01,0.996320,1.002400,0.995800,0.996320,0.996320,0
2023-03-02,1.002260,1.004050,0.997780,1.002260,1.002260,0
2023-03-03,0.998250,0.998720,0.994640,0.998250,0.998250,0
2023-03-06,0.995420,0.996600,0.992210,0.995420,0.995420,0
2023-03-07,0.994390,0.996310,0.992580,0.994390,0.994390,0
2023-03-08,0.993900,0.994190,0.990900,0.993900,0.993900,0
2023-03-09,0.992480,0.992420,0.989440,0.992480,0.992480,0
2023-03-10,0.987400,0.987700,0.979590,0.987400,0.987400,0
2023-03-13,0.981140,0.983430,0.971290,0.981140,0.981140,0
2023-03-14,0.978600,0.982210,0.974940,0.978600,0.978600,0
2023-03-15,0.981020,0.982900,0.970630,0.981020,0.981020,0
2023-03-16,0.985510,0.987830,0.979920,0.985510,0.985510,0
2023-03-17,0.986210,0.988700,0.984020,0.986210,0.986210,0
2023-03-20,0.989570,0.993760,0.985760,0.989570,0.989570,0
2023-03-21,0.995960,0.997550,0.993510,0.995960,0.995960,0
2023-03-22,0.992790,0.996680,0.992600,0.992790,0.992790,0
2023-03-23,0.996280,0.999630,0.993750,0.996280,0.996280,0
2023-03-24,0.993080,0.993850,0.984880,0.993080,0.993080,0
2023-03-27,0.990300,0.990800,0.985840,0.989700,0.989700,0
2023-03-28,0.988830,0.998420,0.987930,0.988830,0.988830,0
2023-03-29,0.997510,0.998400,0.994620,0.997510,0.997510,0
2023-03-30,0.995670,0.997860,0.993500,0.995670,0.995670,0
2023-03-31,0.996000,0.998950,0.990710,0.996000,0.996000,0
2023-04-03,0.991120,0.996090,0.990210,0.991120,0.991120,0
2023-04-04,0.995660,0.996980,0.993260,0.995660,0.995660,0
2023-04-05,0.992330,0.993130,0.986950,0.992330,0.992330,0
2023-04-06,0.988220,0.988910,0.985100,0.988230,0.988230,0
2023-04-07,0.987610,0.988970,0.986300,0.987610,0.987610,0
2023-04-10,0.987200,0.988750,0.986820,0.987200,0.987200,0
2023-04-11,0.987820,0.988790,0.985320,0.987820,0.987820,0
2023-04-12,0.985820,0.986950,0.983080,0.985820,0.985820,0
2023-04-13,0.985100,0.985800,0.979920,0.985100,0.985100,0
2023-04-14,0.982530,0.984190,0.981140,0.982530,0.982530,0
