Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,1.129340,1.137120,1.125630,1.129340,1.129340,0
2022-11-08,1.138880,1.141260,1.133100,1.138880,1.138880,0
2022-11-09,1.137130,1.139110,1.119240,1.137130,1.137130,0
2022-11-10,1.117790,1.135110,1.117790,1.117790,1.117790,0
2022-11-11,1.128530,1.131710,1.113010,1.128530,1.128530,0
2022-11-14,1.113770,1.116150,1.104860,1.113770,1.113770,0
2022-11-15,1.108360,1.128930,1.108430,1.108360,1.108360,0
2022-11-16,1.120090,1.123040,1.116000,1.120090,1.120090,0
2022-11-17,1.125090,1.129490,1.120080,1.125090,1.125090,0
2022-11-18,1.129970,1.136430,1.129740,1.129970,1.129970,0
2022-11-21,1.132900,1.133330,1.128900,1.132900,1.132900,0
2022-11-22,1.133450,1.135270,1.129790,1.133450,1.133450,0
2022-11-23,1.131180,1.138020,1.129380,1.131180,1.131180,0
2022-11-24,1.135750,1.146460,1.135420,1.135750,1.135750,0
2022-11-25,1.142440,1.146500,1.140860,1.142440,1.142440,0
2022-11-28,1.141880,1.142260,1.136400,1.141880,1.141880,0
2022-11-29,1.134560,1.144950,1.134680,1.134560,1.134560,0
2022-11-30,1.139870,1.142040,1.133000,1.139870,1.139870,0
2022-12-01,1.139640,1.153390,1.138840,1.139640,1.139640,0
2022-12-02,1.147750,1.152150,1.144270,1.147750,1.147750,0
2022-12-05,1.151360,1.153870,1.145200,1.151360,1.151360,0
2022-12-06,1.148790,1.152220,1.143800,1.148790,1.148790,0
2022-12-07,1.142750,1.147270,1.141080,1.142750,1.142750,0
2022-12-08,1.148230,1.148600,1.142960,1.148230,1.148230,0
2022-12-09,1.144920,1.147820,1.141810,1.144920,1.144920,0
2022-12-12,1.144170,1.149610,1.143500,1.144170,1.144170,0
2022-12-13,1.148000,1.154060,1.144900,1.148000,1.148000,0
2022-12-14,1.147690,1.150430,1.144900,1.147690,1.147690,0
2022-12-15,1.147730,1.148980,1.133400,1.147730,1.147730,0
2022-12-16,1.130750,1.136370,1.124300,1.130750,1.130750,0
2022-12-19,1.136320,1.137940,1.131860,1.136320,1.136320,0
