Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,10182.269531,10290.709961,10097.839844,10290.709961,10290.709961,69774600
2022-10-04,10367.469727,10590.919922,10355.750000,10590.919922,10590.919922,57987000
2022-10-05,10532.169922,10593.559570,10449.530273,10477.690430,10477.690430,46787500
2022-10-06,10506.110352,10525.379883,10358.780273,10391.129883,10391.129883,49478000
2022-10-07,10343.450195,10439.879883,10297.190430,10308.570313,10308.570313,47889300
2022-10-10,10238.879883,10290.709961,10200.240234,10262.519531,10262.519531,46915800
2022-10-11,10199.769531,10230.450195,10122.509766,10207.830078,10207.830078,39794400
2022-10-12,10198.889648,10249.910156,10139.660156,10199.320313,10199.320313,39305300
2022-10-13,10129.030273,10227.900391,10010.780273,10227.900391,10227.900391,48067900
2022-10-14,10322.400391,10460.110352,10305.740234,10329.339844,10329.339844,51183900
2022-10-17,10326.919922,10538.320313,10296.169922,10498.709961,10498.709961,38216400
2022-10-18,10513.990234,10645.709961,10513.969727,10578.759766,10578.759766,41706000
2022-10-19,10582.740234,10591.900391,10484.139648,10484.139648,10484.139648,35399700
2022-10-20,10461.950195,10502.139648,10426.200195,10473.450195,10473.450195,34664200
2022-10-21,10387.129883,10461.540039,10319.860352,10418.599609,10418.599609,44977700
2022-10-24,10489.799805,10628.790039,10472.379883,10595.530273,10595.530273,40971100
2022-10-25,10639.959961,10773.759766,10629.549805,10773.339844,10773.339844,46787100
2022-10-26,10760.360352,10821.290039,10689.809570,10817.209961,10817.209961,40669200
2022-10-27,10787.269531,10789.950195,10702.490234,10706.620117,10706.620117,89643700
2022-10-28,10649.150391,10783.540039,10635.049805,10772.370117,10772.370117,50161400
2022-10-31,10794.959961,10850.309570,10746.190430,10827.929688,10827.929688,52600400
2022-11-01,10870.089844,10926.540039,10755.330078,10783.650391,10783.650391,33818100
2022-11-02,10821.719727,10864.620117,10766.769531,10806.230469,10806.230469,32975200
2022-11-03,10724.780273,10741.519531,10633.379883,10710.589844,10710.589844,32624400
2022-11-04,10727.830078,10852.480469,10707.620117,10787.769531,10787.769531,40552200
2022-11-07,10751.990234,10806.620117,10712.879883,10750.389648,10750.389648,34498100
2022-11-08,10725.879883,10845.269531,10718.320313,10827.040039,10827.040039,39262400
2022-11-09,10813.679688,10911.450195,10803.040039,10904.330078,10904.330078,35709400
2022-11-10,10882.089844,11147.679688,10846.410156,11120.490234,11120.490234,50118100
2022-11-11,11091.160156,11252.160156,11087.910156,11127.150391,11127.150391,68834500
2022-11-14,11116.309570,11129.500000,10993.099609,10999.589844,10999.589844,41997000
2022-11-15,11008.889648,11087.419922,10991.740234,11026.219727,11026.219727,40182400
2022-11-16,11022.349609,11022.349609,10922.450195,10936.620117,10936.620117,36685200
2022-11-17,10962.280273,10993.110352,10838.799805,10917.879883,10917.879883,32549600
2022-11-18,10991.629883,11063.879883,10949.419922,11045.490234,11045.490234,44285900
2022-11-21,11022.750000,11101.919922,11019.980469,11085.040039,11085.040039,34491400
2022-11-22,11074.929688,11104.839844,11046.820313,11074.299805,11074.299805,29670300
2022-11-23,11077.540039,11104.129883,11066.040039,11094.459961,11094.459961,48210600
2022-11-24,11088.620117,11175.269531,11085.379883,11157.559570,11157.559570,37168400
2022-11-25,11166.330078,11188.290039,11140.379883,11168.030273,11168.030273,67759200
